Prompt;Number of statements;Parameters
"Input text:
Textual context: Given that the vehicle operated for 2.9 hours, it couldn't have consumed under 19.6 dm³ of fuel.
When the total operation time was 6.2 hours, PTO time couldn't have exceeded 6.2 hours.
PTO operation of 4.7 hours means the total time couldn't be less than 4.7 hours.
When axle 1 has 5437.2 kg load, axle 2 must be loaded with more than 5437.2 kg.
With a payload of 10919.1 kg, axle 2 must have more than 10919.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: With a fuel consumption of 18.4 dm³, the vehicle couldn't have run beyond 2.7 hours.
Given that the vehicle consumed 42.0 dm³ of fuel, it wouldn't have gone further than 52.0 km.
Operating for 8.9 hours means driving time couldn't surpass 8.9 hours.
If axle 1 supports 3742.7 kg, axle 2 must bear more than 3742.7 kg.
If the payload is 6419.6 kg, axle 2 must carry more than 6419.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle used 92.5 dm³ of fuel, operating for over 9.3 hours is impossible.
Given an operation time of 5.5 hours, driving time wouldn't be more than 5.5 hours.
With driving time at 2.8 hours, total operation time couldn't be less than 2.8 hours.
If the payload is 2510.4 kg, axle 2 must bear more than 2510.4 kg.
Given a payload of 261.5 kg, axle 3 load must exceed 261.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle used 28.5 dm³ of fuel, traveling over 38.5 km is impossible.
Given an operation time of 4.1 hours, PTO operation time wouldn't be more than 4.1 hours.
With a total operation time of 8.0 hours, idle time couldn't surpass 8.0 hours.
With 196 stops, it's impossible for PTO-engaged stops to be above 196.
When axle 3 has 6984.2 kg, the payload needs to be under 6984.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['stops', 'stops with PTO engaged'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle used 60.5 dm³ of fuel, it couldn’t have traveled more than 70.5 km.
When the total operation time was 5.5 hours, idle time couldn't have surpassed 5.5 hours.
With 24 PTO-engaged stops, the minimum number of stops is 24.
With axle 1 load at 6635.7 kg, axle 3 must have more than 6635.7 kg.
With PTO time at 2.1, idle time at 2.1, and driving time at 2.8, total operation time can't be below 7.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the total operation time was 2.2 hours, idle time couldn't have surpassed 2.2 hours.
Idle time of 4.0 hours means the total operation time couldn't be less than 4.0 hours.
When the total operation time was 9.1 hours, driving time couldn't have exceeded 9.1 hours.
If the number of stops was 270, then it is not possible for PTO-engaged stops to exceed 270.
Given a payload of 8513.4 kg, axle 3 load must exceed 8513.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With a distance of 75.6 km traveled, it is not feasible the vehicle consumed below 65.6 dm³ of fuel.
With PTO operation time at 2.9 hours, the total time couldn't be less than 2.9 hours.
If the vehicle's operation time was 6.2 hours, idle time couldn't be more than 6.2 hours.
Given axle 2 load is 10449.9 kg, the payload must be below 10449.9 kg.
With a payload of 5932.8 kg, axle 3 must have more than 5932.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle ran for 2.4 hours, it is not possible it consumed below 15.0 dm³ of fuel.
Given an operation time of 7.3 hours, driving time wouldn't be more than 7.3 hours.
If PTO-engaged stops are 207, then the total stops cannot be fewer than 207.
With axle 1 load at 5208.8 kg, axle 3 must have more than 5208.8 kg.
Given a payload of 10203.5 kg, axle 3 load must exceed 10203.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that the vehicle operated for 5.7 hours, it couldn't have consumed under 51.9 dm³ of fuel.
With a total operation time of 9.4 hours, PTO operation time couldn't exceed 9.4 hours.
If the vehicle's operation time was 8.7 hours, driving time couldn't be more than 8.7 hours.
Given axle 3 load is 5569.8 kg, axle 1 load must be below 5569.8 kg.
If axle 2 is loaded with 8724.6 kg, the payload must be less than 8724.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When the vehicle's operation time was 4.2 hours, it definitely consumed no less than 35.2 dm³ of fuel.
When the vehicle traveled 29.0 km, it definitely consumed no less than 19.0 dm³ of fuel.
Given that the vehicle consumed 38.6 dm³ of fuel, it wouldn't have gone further than 48.6 km.
PTO operation of 2.1 hours means the total time couldn't be less than 2.1 hours.
Given PTO operation time of 1.7, idle time of 1.7, and driving time of 2.3, the total time can't be under 5.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the number of stops was 266, then it is not possible for PTO-engaged stops to exceed 266.
Given that axle 1 load is 3487.2 kg, axle 2 load needs to be greater than 3487.2 kg.
With axle 1 load at 5033.0 kg, axle 3 must have more than 5033.0 kg.
If the load on axle 3 is 7496.3 kg, the payload must be under 7496.3 kg.
If PTO operation is 1.8, idle time is 1.8, and driving time is 2.4, then the overall time can't be less than 6.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Consuming 97.3 dm³ of fuel means the vehicle couldn't have traveled beyond 107.3 km.
When the total operation time was 3.0 hours, driving time couldn't have exceeded 3.0 hours.
When driving time was 2.2 hours, the overall operation time couldn't have been under 2.2 hours.
If the load on axle 1 is 7789.1 kg, axle 3 must carry more than 7789.1 kg.
Given axle 2 load is 8448.1 kg, the payload must be below 8448.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the vehicle used 18.1 dm³ of fuel, operating for over 2.7 hours is impossible.
With a distance of 66.7 km traveled, it is not feasible the vehicle consumed below 56.7 dm³ of fuel.
With axle 2 supporting 8756.4 kg, axle 1 must have less than 8756.4 kg.
With axle 3 supporting 6672.5 kg, the payload must be less than 6672.5 kg.
With PTO time at 2.2, idle time at 2.2, and driving time at 2.9, total operation time can't be below 7.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: PTO operation of 2.7 hours means the total time couldn't be less than 2.7 hours.
If idle time was 4.0 hours, the vehicle's total operation time wouldn't be below 4.0 hours.
With axle 1 load at 6489.4 kg, axle 3 must have more than 6489.4 kg.
When axle 3 has 5570.0 kg, axle 1 load needs to be under 5570.0 kg.
When the payload is 9937.9 kg, axle 2 needs to be loaded with more than 9937.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: With a distance of 38.5 km traveled, it is not feasible the vehicle consumed below 28.5 dm³ of fuel.
Consuming 74.2 dm³ of fuel means the vehicle couldn't have traveled beyond 84.2 km.
Driving time of 1.8 hours means the total operation time couldn't be less than 1.8 hours.
If the load on axle 2 is 9029.1 kg, axle 1 must bear less than 9029.1 kg.
When axle 3 has 5867.4 kg, the payload needs to be under 5867.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['driving time', 'total operation time'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle used 84.2 dm³ of fuel, traveling over 94.2 km is impossible.
Operating for 8.2 hours means PTO time couldn't have surpassed 8.2 hours.
If the vehicle's operation time was 9.4 hours, idle time couldn't be more than 9.4 hours.
Given axle 1 load is 4438.1 kg, axle 3 load must exceed 4438.1 kg.
If the load on axle 3 is 5299.1 kg, axle 1 must bear less than 5299.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: If the vehicle ran for 2.3 hours, it is not possible it consumed below 13.6 dm³ of fuel.
Given that the vehicle consumed 39.5 dm³ of fuel, it wouldn't have gone further than 49.5 km.
When PTO-engaged stops are 47, total stops cannot be below 47.
If axle 2 is loaded with 9211.3 kg, axle 1 must carry less than 9211.3 kg.
When axle 1 carries 3421.5 kg, axle 3 needs to be loaded with more than 3421.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";5;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load']]
